name,location__city,location__coordinates,categories__001,bio__summary,bio__birthdate,bio__deathdate
Gérard Baste,Paris ,"2.343855, 48.864310",rapper,"Matthieu Balanca, known as Gérard Baste, born on January 9, 1973, is a French rapper from Paris. He is a member of the Svinkels rap group.",1/9/73,null
7ARI,Rabbat,"-6.824675, 33.987114",rapper,Soufiane elhari is a rapper singer from Rabat (CYM). He was a member of Tawra crew.\r\n,null,null
Pacewon,Newark,"-74.175222, 40.744422",rapper,"Pacewon (born Jerome Derek Hinds, Jr.) is an American rapper and producer from Newark, New Jersey. He was a member of the Outsidaz group.",null,null
Jimmy Wopo,Pittsburgh,"-79.980578, 40.445019",rapper,"Travon DaShawn Frank Smart (January 13, 1997 – June 18, 2018), better known by his stage name Jimmy Wopo, was an American rapper from Pittsburgh, Pennsylvania.",1/13/97,6/18/18
Key!,Atlanta,"-84.338006, 33.740821",rapper,"Key is an american from Atlanta, Georgia. He is a member of the Two-9 collective.",null,null
Nyzzy Nyce ,Fort Wayne,"-85.108915, 41.074649",rapper,"DeAngelo Samuel, (born January 4, 1988) better known by his stage name Nyzzy Nyce (aka Nyzzy), is an American rapper from Fort Wayne, Indiana.",1/4/88,null
Gué Pequeno,Milano,"9.158590, 45.471562",producer / dj,"Cosimo Fini better know as Gué Pequeno, is an Italian rapper from Milan. ",12/25/80,null
Kaytranada,Montreal,"-73.655446, 45.557665",producer / dj,"Louis Kevin Celestin (born August 25, 1992), known by his stage name Kaytranada, is a Haitian-Canadian DJ and record producer.",8/25/92,null
Watsky ,San Francisco,"-122.445392, 37.790943",rapper,"George Virden Watsky (born September 15, 1986), known professionally as Watsky, is an American hip hop artist, author, and poet from San Francisco, California.",9/15/86,null
Enzo Dong,Naples,"14.248604, 40.891374",rapper,"Enzo Dong (born 01/05/1991) is a Italian rapper from Don Guanella, Naples.",null,null
Allan Kingdom,Saint Paul,"-92.961595, 44.909013",rapper,"Allan Kyariga (born January 6, 1994, better known by his stage name Allan Kingdom, is a Canadian rapper and record producer based in Saint Paul, Minnesota. He is a member of Thestand4rd along with Spooky Black, Bobby Raps, and Psymun.",1/6/94,null
D T F,Ivry Sur Seine,"2.390445, 48.811446",group,DTF is a French band from Ivry-sur-Seine (94) composed by RTI and RKM. DTF stand for “Dans Ta Face” (In your face).,null,null
EarthGang,Atlanta,"-84.504626, 33.735726",group,"EarthGang are an American rap duo composed of rappers Johnny ""Olu O. Fann"" Venus and Doctur ""Eian Undrai Parker"" Dot. Formed in 2008 in Atlanta, Georgia, EarthGang released its first EP, The Better Party.",null,null
Gkr,Reykjavik,"-21.822305, 64.123115",rapper,"GKR Is a rapper from Reykjavik, Iceland.",null,null
Ksir Makoza ,Marseille,"5.368590, 43.363585",rapper,Ksir Makoza is a French rapper from Marseille. He was a member of the group 1K2Plus.,null,null
Pee Froiss,Dakar,"-17.455826, 14.706702",group,"Pee Froiss is a hip hop group fromed Dakar, Senegal. The band's music is rapped in Wolof, French, and English and features traditional Senegalese instruments such as the kora as part of its instrumentation.",null,null
Positive Black Soul,Dakar,"-17.383478, 14.776316",group,"Positive Black Soul, PBS, born in Dakar, is one of the first rap collectives in Senegal. Created in 1989, the group is composed of Dj Awadi and Dugg E Tee. They perform in the English, French, and Wolof languages and use traditional Senegalese instruments as part of their songs.",null,null
Daara J,Dakar,"-17.467866, 14.751269",group,"Daara J is a hip hop crew from Dakar, Senegal. The crew was formed in 1993 by N’Dongo D, Faada Freddy and Lord Aladji Man.",null,null
Tiers Monde,Le Havre,"0.109944, 49.526292",rapper,Tiers Monde is a french rapper from Le Havre.,null,null
Admiral T,Pointe-à-Pitre,"-61.531287, 16.244404",singer,"Admiral T, whose real name is Christy Campbell, is a French singer of reggae-dancehall from Pointe-à-Pitre, Guadeloupe.",3/28/81,null
Joe Lucazz,Paris,"2.333068, 48.877712",rapper,Joe Lucazz is a french rapper. He is a member of the Neochrome label.,null,null
Shing02,San Francisco,"-122.487990, 37.735310",producer / dj,"Shingo Annen (安念 真吾) (born 1975), better known by his stage name Shing02, is a Japanese American hip hop recording artist and record producer from San Francisco, California.",null,null
Manza Abdeslam,Bruxelles,"4.346122, 50.855179",rapper,"Manza Abdeslam (also know as Manza Eliott Ness), is a Belgian rapper, slamer, writer from Bruxelles.",null,null
Convok,Bruxelles,"4.341340, 50.846023",producer / dj,"Convok is a Belgian rapper, producer from Bruxelles.",null,null
RBL Posse,San Francisco,"-122.386128, 37.740255",group,"RBL Posse (also known as Ruthless by Law) was a 1990s gangsta rap group from Hunters Point in San Francisco, California. The group is composed of Black C and Mr.Cee.",null,null
Ninho,Yerres,"2.483581, 48.706067",rapper,"Ninho is a french rapper from Yerres, Essone.",null,null
9 Zéro,Brussels,"4.338403, 50.879674",group,9 zéro is a Belgian rap group from the West side of Brussels.,null,null
Jumo Barjo,Bruxelles,"4.362032, 50.838182",group,Jumo Barjo is a Belgian group of two rappers from Porte De Namur.,null,null
Prince Waly,Montreuil,"2.457461, 48.869443",rapper,"Prince Waly is a french rapper from Montreuil, Seine-Saint-Denis.",12/24/91,null
Yung Light,Thessaloniki,"22.941988, 40.634343",rapper,"Christian Ioannidis aka ''Yung Light'' or ''Heartbreak Kid'' (born January 24, 1995) is a greek rapper and singer from Thessaloniki.",1/24/95,null
Keith Ape,Seoul,"126.940791, 37.574814",rapper,"Dongheon Lee (이동헌; born December 25, 1993), known professionally as Keith Ape, is a South Korean hip hop recording artist from Seoul.",null,null
Briggs,Shepparton,"145.405800, -36.395371",rapper,"Adam Briggs (born 28 August 1986), who performs as Briggs, is an  Australian rapper from Shepparton.",8/28/86,null
MBS,Hussein Dey,"3.100699, 36.736970",group,"MBS, short for Le Micro Brise Le Silence (the microphone breaks the silence), is a rap group formed in 1988 in Algeria. They sing in Algerian and French. The group is composed of DEYMED, Red One, Yacine Ayad et DONQUISHOOT. ",null,null
13 Block,Sevran,"2.533054, 48.929103",group,"13 Block is a french Hip Hop group from Sevran,  Seine-Saint-Denis. The group is composed of DeTess, OldPee, Zefor, et Zed.",null,null
Yung Berg,Chicago,"-87.703015, 41.813310",rapper,"Christian Ward (born September 9, 1985), better known as his stage names Yung Berg and Hitmaka, is an American rapper and singer.",9/9/85,null
Philthy Rich,Oakland,"-122.156740, 37.735113",rapper,"Philip ""Philthy Rich"" Beasley (born 1983) is an American rapper from Oakland, California.",1/30/83,null
Playboi Carti,Fairburn,"-84.625007, 33.556887",rapper,"Jordan Terrell Carter (born September 13, 1996), known professionally as Playboi Carti, is an American rapper, songwriter and model from Fairburn, Georgia.",9/13/96,null
Rob Stone,San Diego,"-117.159074, 32.939272",rapper,"Jaylen Robinson (born January 25, 1995), known professionally as Rob Stone (stylized as Rob $tone), is an American hip hop recording artist from San Diego, California.",1/25/95,null
Devlin,London,"0.121572, 51.541038",rapper,"James Devlin (born 7 May 1989), better known mononymously as Devlin, is an English rapper from Dagenham, London.",5/7/89,null
PNB Rock,Philadelphia,"-75.169965, 39.942560",rapper,"Rakim Hasheem Allen (born December 9, 1991), better known by his stage name PnB Rock, is an American rapper and singer from Philadelphia, Pennsylvania.",12/9/91,null
A Boogie wit da Hoodie,Bronx,"-73.929188, 40.837171",rapper,"Artist Julius Dubose (born December 6, 1995), better known by his stage name A Boogie wit da Hoodie (or simply A Boogie), is an American rapper, singer, and songwriter from the Bronx, New York.",12/6/95,null
Machine Gun Kelly,Cleveland,"-81.569683, 41.472464",rapper,"Colson Baker (born April 22, 1990), better known by his stage names MGK and Machine Gun Kelly, is an American rapper and actor, from Cleveland, Ohio.",4/22/90,null
Valete,Lisbon,"-9.201699, 38.752258",rapper,"Valete is a Portuguesehip hop artist named Keidje Lima from Benfica, Lisbon.",null,null
Pouya,Miami,"-80.235234, 25.793981",rapper,"Kevin Pouya, known simply as Pouya, is an American rapper from Miami.",null,null
Rap Monster,Ilsan,"126.790040, 37.668572",rapper,"Kim Nam-joon (born September 12, 1994), better known as Rap Monster, is a South Korean rapper, songwriter, and record producer.",9/12/94,null
$uicideboy$,New Orleans,"-90.131997, 29.953031",group,"The $uicideboy$ are a rap duo from New Orleans, Louisiana that consists of two members, $crim (Scott Arceneaux Jr.) and Ruby da Cherry (Aristos Petrou).",null,null
Famous Dex,Chicago,"-87.636214, 41.770000",rapper,"Dexter Gore, better known as Famous Dex, is a rapper from Chicago, Illinois. He was born on September 6, 1993. He went to Robeson High School, the same school as fellow Chicago rapper Lil Durk.",9/6/93,null
The Weeknd,Toronto,"-79.238350, 43.771708",singer,"The Weeknd (born Abel Makkonen Tesfaye; February 16, 1990) is a Canadian singer from Scarborough, Toronto (Ontario).",2/16/90,null
Bryson Tiller,Louisville,"-85.781185, 38.173161",singer,"Bryson Djuan Tiller (born January 2, 1993), is an American R&B singer, rapper and songwriter. Born in Louisville, Kentucky.",1/2/93,null
Logic,Gaithersburg,"-77.200791, 39.129334",rapper,"Sir Robert Bryson Hall II (born January 22, 1990), known by his stage name Logic, is an American rapper from Gaithersburg, Maryland.",1/22/90,null
Jay Rock,Watts,"-118.250017, 33.934402",rapper,"Johnny Reed McKinzie, Jr., (born March 31, 1985), better known by his stage name Jay Rock, is an American hip hop recording artist from Watts, California. ",3/31/85,null
Biffty,Aulnay sous bois,"2.494209, 48.923861",rapper,Biffty is a french rapper from Aulnay sous bois. He is a member of the Patapouf Gang.,null,null
Dae Dae,Atlanta,"-84.372125, 33.757892",rapper,"Marquavis Goolsby (born July 29, 1992), better known by his stage name Dae Dae, is an American rapper from Atlanta, Georgia. He is known for his debut single ""Wat U Mean (Aye, Aye, Aye).""",7/29/92,null
Djadja & Dinaz,Meaux,"2.888862, 48.958451",group,Djadja & Dinaz is a French hip-hop duo from Meaux.,null,null
Dyno,Yverdon-les-Bains,"6.632218, 46.774592",rapper,"Dyno, is a rapper from Yverdon-les-bain, Switzerland. he is a member of the Hip Hop crew 274.",null,null
Little Simz,London,"-0.101174, 51.552670",rapper,"Simbiatu ""Simbi"" Ajikawo (born 23 February 1994), better known by her stage name Little Simz, is a British rapper, singer and actress from Islington, London.",2/23/94,null
Original Flow Mastaz,Neuchâtel,"6.917182, 46.999944",group,"Original Flow Mastaz is a Hip Hop band from Neuchâtel formed by Akim, Le R', Seko and Askaine.\r\n",null,null
Lil Shaolin,Besançon,"5.969470, 47.222121",rapper,"Lil Shaolin (born in 1990) is a French rapper from Planoise, Besançon.",null,null
Marracash ,Milano,"9.154857, 45.437469",rapper,"Fabio Bartolo Rizzo, better known by his stage name Marracash, is an Italian rapper from Milano.",null,null
Sobre,Caen,"-0.385134, 49.190457",rapper,Sobre is a french rapper from Caen. He is a member of the 1treuk crew.,null,null
Kacem Wapalek,Lyon,"4.839238, 45.745237",rapper,Kacem Wapalek is a french rapper from Lyon. He is a member of the Amasseurs de Mots (S.L.A.M.)  crew.,null,null
Frenkie,Tuzla,"18.670719, 44.536307",rapper,"Adnan Hamidović (born 31 May 1982), better known by his stage name Frenkie, is a Bosnian rapper from Tuzla. ",5/31/82,null
Ice Top,Ulaanbaatar,"106.891649, 47.906587",group,Ice Top is a Mongolian Hip Hop band from Ulaanbaatar.,null,null
Mafia Trece,Paris,"2.365793, 48.821897",group,"The Mafia Trece is a French group from Paris, Bagneux and Ivry-sur-Seine. The group is composed by member of the bands Écho du Sud and Moovens'. ",null,null
Lasco,Les Lilas,"2.414324, 48.875823",rapper,"Lasco is a french rapper from Les Lilas, Seine Saint Denis. He is a member of the crew LTF (Les Tontons Flingueurs).",null,null
Kamelancien,Kremlin-Bicêtre,"2.348219, 48.806989",rapper,"Kamel Jdayni Houari (born in Le Kremlin-Bicêtre on 13 May 1980) better known as Kamelancien later shortened into Kamelanc', is a francophone rapper of Moroccan origin. He grew up in Le Kremlin-Bicêtre, a town in the suburbs of Paris.",5/13/80,null
Russ,Roswell,"-84.354128, 34.045980",producer / dj,"Russ Vitale (born September 26, 1992), known by his stage name and mononym Russ, is an American hip hop recording artist, singer-songwriter and record producer from Roswell, Georgia.",9/26/92,null
Taïpan,Thill,"5.908164, 49.472725",rapper,"Taïpan is a french rapper from Thill, Meurthe et Moselle. He gained notoriety for is performance on Rap Contenders. He used to be a Bomayé Music artist, the Youssoupha's Label. ",null,null
Eloquence,Evry ,"2.440871, 48.633044",rapper,"Eloquence is a french rapper from Evry, Esonne. ",null,null
Childish Gambino,Stone Mountain,"-84.173765, 33.805348",producer / dj,"Donald McKinley Glover (born September 25, 1983) is an American actor, writer, producer, comedian, rapper, singer, and songwriter from Stone Mountain, Georgia. As a recording artist, he usually performs under the stage name Childish Gambino.",9/25/83,null
Kalash,Fort-de-France,"-61.052733, 14.608947",singer,"Kalash, whose real name is Kevin Valleray (born in June 12, 1988) is a French singer and rapper from Martinique.",6/12/98,null
XXXTENTACION,Pompano Beach,"-80.140036, 26.241269",rapper,"Jahseh Dwayne Onfroy (born January 23, 1998), known professionally as XXXTentacion is an American rapper, singer, and songwriter from Pompano Beach, Florida.",1/23/98,null
Freeway,Philadelphia,"-75.141924, 40.007635",rapper,"Leslie Edward Pridgen (born August 6, 1978), better known by his stage name Freeway, is an American hip hop recording artist from North Philadelphia, Pennsylvania. ",8/6/78,null
Main Attrakionz,Oakland,"-122.265217, 37.814641",group,"Main Attrakionz is an American hip hop duo from Oakland, California, composed of rappers Mondre M.A.N. (Damondre Grice) and Squadda B (Charles Glover).",null,null
Young M.A,New York,"-73.941395, 40.627293",rapper,"Young M.A (born Katorah Marrero) is an American rapper from New York,  Brooklyn.",null,null
Rejjie Snow ,Dublin,"-6.266754, 53.373572",rapper,"Alexander Anyaegbunam (born June 27, 1993), better known by his stage name Rejjie Snow, is an Irish rapper and record producer from Dublin. He is currently signed to 300 Entertainment.",6/27/93,null
Yvon Krevé,Montreal,"-73.616835, 45.424920",rapper,"Henry Green-Dupré known by his stage names of Yvon Krevé and Von Von le Vet, is a French Canadian hip hop artist of Haitian origin.",null,null
Sfera Ebbasta,Milano,"9.169834, 45.501949",rapper,"Sfera Ebbasta, (born Gionata Boschetti, 7/12/1992) is a Italian rapper from Milan.",null,null
SP (Sans Pression),Montréal,"-73.569515, 45.520922",rapper,"Sans Pression is a Québécois hip hop duo composed of Kamenga Mbikay, who performs under the name SP, and Ti-Kid aka Kamokain. . Sans Pression later became the solo project of SP. ",null,null
Siboy,Mulhouse,"7.308973, 47.736289",rapper,Siboy is a French rapper from Mulhouse of Congolese origin (Brazzaville).\r\n\r\n,null,null
Desiigner,Brooklyn,"-73.945766, 40.688132",rapper,"Sidney Royel Selby III (born May 3, 1997), better known by his stage name Desiigner, is an American recording rapper from Brooklyn, New York.",null,null
The Doppelgangaz,Orange County,"-74.044964, 41.482909",group,"The Doppelgangaz is an American Hip-Hop group from Orange County, New York consisting of rapper/producer Matter Ov Fact and rapper/producer EP. ",null,null
Azizi Gibson,Los Angeles,"-118.283464, 34.094063",rapper,"Azizi Gibson was born in Frankfurt, Germany, raised in Bangkok, Thailand and is currently based in Los Angeles, California.",null,null
Flatbush Zombies,Brooklyn,"-73.961491, 40.639724",group,"Flatbush Zombies is an American hip hop group from the Flatbush section of Brooklyn, New York City, formed in 2010. The group is composed of rappers Meechy Darko, Zombie Juice and Erick Arc Elliott.",null,null
The Underachievers,Brooklyn,"-73.965888, 40.648732",group,"The Underachievers are an American hip hop duo from Flatbush, Brooklyn, New York. Formed in 2011, the duo is composed of rappers AKTHESAVIOR and Issa Gold. ",null,null
Guizmo,Paris,"2.327838, 48.938373",rapper,"Guizmo, born on January 21, 1991, is a French rapper from Villeneuve-la-Garenne. He was a member of the collective of rap l'Entourage.",null,null
Isaiah Rashad, Chattanooga,"-85.282209, 35.031956",rapper,"Isaiah Rashad McClain (born May 16, 1991), is an American hip hop recording artist and record producer from Chattanooga, Tennessee.",5/16/91,null
Less du neuf,Meudon,"2.237701, 48.812169",group,"Less du Neuf was a french hiphop group from Meudon, Hauts-de-Seine. The group is composed of DJ Ol'Tenzano, Kimto, Vasquez and Jeap12.",null,null
Freddie Gibbs,Gary,"-87.329498, 41.598388",rapper,"Fredrick Tipton (born June 14, 1982), better known by his stage name Freddie Gibbs, is an American rapper from Gary, Indiana.",6/14/82,null
S.Pri Noir,Paris,"2.410277, 48.871915",rapper,"Malick Mendosa also known as S.Pri Noir is a French rapper from Paris, 20th. ",null,null
G-Side,Huntsville,"-86.6292852, 34.7631064",group,"G-Side is an American hip hop duo from Huntsville, Alabama, consisting of ST 2 Lettaz (born Stephen Harris) and Yung Clova (born David Williams). ",null,null
Alpha Wann,Paris,"2.321774, 48.831405",rapper,Alpha Oumar Wann also known as Alpha Wann is a french rapper from Paris (14th). he is a member of L'Entourage & 1995.,null,null
Futur Krew,Saint Denis,"55.460367, -20.895031",group,"Futur Crew, (also knew has Futur Krew) is a french rap band from the  Camélias neighborhood Saint-Denis, La Réunion.",null,null
Droogz Brigade,Toulouse ,"1.458244, 43.582029",group,"Droogz Brigade is french hiphop group from Toulouse. The group is composed by Sad Vicious, Staff l’instable, Al’tarba, Rhama le singe and Herken.",null,null
Hugo TSR,Paris,"2.363621, 48.891806",rapper,"Hugo TSR (previously know has Hugo Boss) is a french rappeur from La Chapelle,  Paris (18th). He is one of the member of the TSR Crew.",null,null
Ixzo,Sevran,"2.524423, 48.935611",rapper,Ixzo is a french rapper from Sevran. he is a member of the Tookie Prod.,null,null
Keny arkana,Marseille,"5.390296, 43.309782",rapper,Keny Arkana is an Argentine-French rapper from Marseille who is active in the alter-globalization and civil disobedience movements.,12/20/82,null
Expression Direkt,Mantes la jolie,"1.700346, 48.996195",group,"Expression Direkt is a french hip hop group from Mantes-la-Jolie, Yvelines. The group is composed of Delta, Kertra, Le T.I.N. and Weedy.",null,null
Alaclair Ensemble,Québec City,"-71.238712, 46.799729",group,Alaclair Ensemble is a Canadian hip hop musical collective. The band's concept is based around an alternate history in which the Patriotes won the Lower Canada Rebellion of 1838.,null,null
Makala,Geneva,"6.155557, 46.192091",rapper,Makala is a swiss rapper from Geneva. He is a member of SWK (SuperWakClique).,3/7/93,null
Lofti Double Kanon,Annaba ,"7.752270, 36.927022",rapper,"Lotfi Double Kanon, real name Lotfi Belamri (born 6/07/1974) is an Algerian rapper from Annaba. ",7/6/74,null
Jazz Cartier,Toronto,"-79.384661, 43.658110",rapper,"Jaye Adams (born March 19, 1993), better known by his stage name Jazz Cartier, is a Canadian hip hop recording artist from Toronto. He is best known for his mixtapes, Marauding in Paradise and Hotel Paranoia.",3/19/93,null
Jeff le Nerf,Grenoble,"5.707799, 45.189542",rapper,"Jeff Le Nerf is a french rapper from Grenoble. He is a member of the crew Collal-Shit. In 2005 he join the label IV My People, released the ""Le Nerf à vif"" album, after what he continue is carrier has an independant artist.",3/17/82,null
Josman,Vierzon,"2.068383, 47.227969",producer / dj,"Josman, also know as Jeezy Jeezy Baby (Born 28/10/1993) is a french rapper and producer from Vierzon.",10/28/93,null
Sam the Kid,Portugal,"-9.108901, 38.742002",rapper,"Samuel Martins Torres Santiago Mira (born July 17, 1979), better known by his stage name Sam the Kid (STK), is a Portuguese rapper and producer from Lisbon, Portugal.",7/17/79,null
Georgio,Paris,"2.353752, 48.887897",rapper,"Georges Édouard Nicolo know has Georgio (21/01/1993), is a french rapper from Paris (18th).",1/21/93,null
MoTrip,Aachen,"6.102044, 50.779529",rapper,"MoTrip (born March 7, 1988) is a German rapper of Lebanese origin from Aachen.",3/7/88,null
L'or du commun,Bruxelles,"4.418411, 50.796134",group,"L'or du commun is a Belgian rap group from Bruxelles. The group is composed of Loxley, Primero et Swing.",null,null
Sido,Berlin,"13.354039, 52.596998",rapper,"Paul Würdig (born 30 November 1980), better known as Sido, is a German rapper from Berlin. ",11/30/80,null
Triplego,Montreuil,"2.436440, 48.857928",group,"TripleGo is a French duo from Montreuil, Seine-Saint-Denis, formed by Sanguee and MoMo Spazz.",null,null
Lacraps,Montpellier,"3.868840, 43.605666",rapper,Lacraps is a french mc from Montpellier. He is a member of the  Laclassic crew.,null,null
C. Tangana,Madrid,"-3.717205, 40.384346",rapper,"Antón Álvarez Alfaro, better known as C. Tangana is a rapper born in 1990 in Madrid. He is a member of the Agorazein group along with Sticky MA, Jerv. Agz., Fabianni and I-Ace. ",7/16/90,null
Melan,Toulouse,"1.471291, 43.577428",rapper,Melan is a French rapper from Toulouse. He is a member of the Omerta-Muzik crew.,null,null
Furax Barbossa,Toulouse,"1.468201, 43.631624",rapper,"Furax also know as Furax Barbarossa, is a french rapper from Toulouse. he was a member of the Polychrome 7 crew.",2/4/79,null
Krisy,Bruxelles,"4.339205, 50.847483",producer / dj,Krisy (also know as De La Fuentes) is a Belgian  producer and rapper from Bruxelles.,null,null
Nipsey Hussle,Los Angeles,"-118.345268, 34.010830",rapper,"Ermias Asghedom (August 15, 1985 – March 31, 2019), better known by his stage name Nipsey Hussle (often stylized as Nipsey Hu$$le), is an American rapper from Crenshaw, Los Angeles, California. Hussle was murdered outside his store, Marathon Clothing, in South Los Angeles on March 31, 2019.",9/15/85,3/31/19
Sinya,Perpignan,"2.831146, 42.670169",rapper,Yassine Benhadji (born 5th august 1995) is a french rappeur of algerian descent who grew up in Perpignan.,8/5/95,null
Bejo,Santa Cruz de Tenerife,"-16.255821, 28.466467",rapper,"Bejo is a spanish rapper from Santa Cruz de Tenerife, Canary Island.",null,null
Lonepsi,Paris,"2.320214, 48.846466",rapper,"Lonepsi (born Lindo Gargiulo, 1994), is a French rapper/singer from Parius.",null,null
Youssef Swatt's,Tournai,"3.347650, 50.608760",rapper,Youssef Swatt's is a Belgian rapper from Tournai. ,null,null
Bitsu,Toulouse,"1.459618, 43.611120",rapper,Imrane Gielessen know as Bit$u is a french rapper from Toulouse. ,6/25/99,null
Mister you,Paris,"2.388620, 48.871907",rapper,"Younès Latifi (born 5 February 1984), better known by his stage name Mister You, is a French rapper from Belleville, Paris (19th).",2/5/84,null
Vin'S,Grenoble,"5.732298, 45.170472",rapper,Vin'S is a french rapper from Grenoble. ,null,null
Deen Burbigo,Toulon,"5.928624, 43.138235",rapper,Deen Burbigo is a french rapper from Toulon. He is a member of the crew L'entourage. ,null,null
Tortoz,Grenoble,"5.725842, 45.176295",producer / dj,"Tortoz is a french rapper, producer from Grenoble. ",null,null
Portavoz,Santiago de Chile,"-70.679302, -33.382835",rapper,"Andi Ferrer Millanao , better known as Portavoz , is an MC and musical producer from Conchalí, Santiago de Chile.",null,null
Sam's,Bordeaux,"-0.572409, 44.825140",producer / dj,"Moussa Mansaly know has Sam's is a french rapper, actor, producer from Bordeaux.",11/9/83,null
7liwa,Casablanca,"-7.611599, 33.580666",rapper,7Liwa is a moroccan rapper from Casablanca.,null,null
Odezenne,Bordeaux,"-0.603308, 44.842913",rapper,"Odezenne is a French music group from the city of Bordeaux in southwestern France. Their sound has been characterised as being notably eclectic. The group consists of Alix, Jacques, and Mattia who were childhood friends.",null,null
Fresh Caen Camps,Caen,"-0.370975, 49.180726",group,"Fresh Caen Camps is a underground french band from Caen. The group is composed by Bogdan, HVJ, Joseph I, Hit La Mallette & DJ Paraplogik.",null,null
Elams,Marseille ,"5.384598, 43.322863",rapper,Elams is a french rapper from Marseille. He gained some notoriety with a song cliped inside a prison.,null,null
Fayçal,Bordeaux,"-0.660833, 45.123558",rapper,Fayçal is a french rapper from Bordeaux.,null,null
Ol Kainry,Évry,"2.414986, 48.623020",rapper,"Freddy Kpadé know has Ol Kainry, is a french rapper from Courcouronnes, Essonne.",null,null
Bigflo & Oli,Toulouse,"1.431123, 43.615345",group,"Bigflo & Oli is a French hip-hop duo from Toulouse. The duo is composed of two brothers, Florian ""Bigflo"" Ordonez and Olivio ""Oli"" Ordonez.",null,null
Turk,New Orleans,"-90.095610, 29.938541",rapper,"Tab Virgil, Jr. (born February 8, 1981) better known by his stage name Turk (sometimes ""Young Turk"" or ""Lil Turk""), is an American rapper from New Orleans, Louisiana. He is best known for his time with Cash Money Records and with the Hot Boys.",2/8/81,null
Lucio Bukowski,Lyon,"4.831418, 45.769508",rapper,"Ludovic Villard (better know has Lucio Bukowski) is a French rapper from Lyon, member of the crew L'animalerie. ",null,null
Loyle Carner ,London,"-0.098422, 51.354824",rapper,"Benjamin Gerard Coyle-Larner, better known by the stage name Loyle Carner, is an English hip hop musician and actor from South Croydon, London.",null,null
Chilla,Gex,"6.060867, 46.333132",rapper,Chilla is a french rapper from Gex. ,null,null
Tommy Cash,Tallinn,"24.713158, 59.422738",rapper,"Tommy Cash is a Estonian rapper from Tallinn. He gain notoriety with a strong visual style, inspired by USSR, rap and cinema. ",null,null
Columbine,Rennes,"-1.669917, 48.110966",group,"Columbine is a rap band from Rennes, composed of 8 members ( Chaman, Chaps, Foda C, Lujipeka, Sacha, KCIV, Sully, Yro  and Lorenzo (aka Larry Garcia).",null,null
Radmo,Besançon,"5.967567, 47.221512",rapper,Radmo is a french rapper from Besançon. He has worked in collaboration with Dela (producer of the rap group Butter Bullet from Besançon).,null,null
Black Kray ,Richmond ,"-77.444799, 37.539930",rapper,"Black Kray also know has Sickboyrari is an american rapper from Richmond , Virginia. He is the founder of Goth Money Records.\r\n",null,null
Iceberg Black ,Brooklyn,"-73.943575, 40.670641",producer / dj,"Iceberg black is an american rapper & producer from Crown Heights Brooklyn, New York. ",null,null
Morlockk Dilemma,Leipzig,"12.293560, 51.319083",producer / dj,"Morlockk Dilemma (born September 11, 1981 ) is a German MC and producer from Leipzig.",9/11/81,null
Swagg man,Paris,"2.301179, 48.871828",rapper,Rayan Sanches or Rayan Rockfeller also has Swagg Man is a french rapper from Paris.,12/23/88,null
Fabolous,Brooklyn,"-73.924337, 40.680588",rapper,"John David Jackson (born November 18, 1977), better known by his stage name Fabolous, is an American hip hop recording artist from  Bedford-Stuyvesant, Brooklyn, New York City.",11/18/77,null
Bisso na Bisso,Paris,"2.336719, 48.907246",group,"Bisso Na Bisso (Lingala: Between Us) is a music collective of rappers and singers with origins from Congo Brazzaville formed in 1999. The group consisting of Ben-J (from Les Neg'Marrons), Lino and Calbo (from the group Ärsenik), Doc and G Kill (from 2Bal), Mystik and the only female M'Passi.",null,null
Davodka,Paris,"2.339418, 48.893315",rapper,Davodka is a french rapper from Paris (18th arrondissemen). He is a member of the crew Mentalités Sons Dangereux.,null,null
La Clinique,Paris,"2.363829, 48.892194",group,"La Clinique is a French hiphop group originally created by Doc Gynéco and joined by Doom Décadent, Space L'Anesthésiste, Les Sales Gosses, Papillon, Charlie Waits and Psychologue.",null,null
Dinos Punchlinovic,Seine-Saint-Denis,"2.397335, 48.931401",rapper,"Dinos Punchlinovic is a French rapper from La Courneuve, Seine-Saint-Denis.",null,null
Gaël Faye,Yvelines,"1.983584, 48.843966",rapper,"Gaël Faye is a French rapper and singer of Burundian origin from the Yvelines, France. ",null,null
La Smala﻿,Bruxelles,"4.322222, 50.817108",group,"La Smala is a Belgian rap group from Bruxelles formed by Seyté, Rizla, Senamo, Shawn-H and F.L.O.",null,null
Jeanjass,Charleroi,"4.443352, 50.409590",producer / dj,"JeanJass (also know has Jassim) is a Belgian rapper and beatmaker from Charleroi. He is a member of the group Exodarap, and better know for is collaboration with the Belgian rapper Caballero.",5/10/88,null
Ledé Markson,Liège,"5.567071, 50.641616",rapper,Ledé Markson is a Belgian rapper from Liege. ,null,null
Silkk the Shocker,New Orleans,"-90.093223, 29.951165",rapper,"Vyshonne King Miller (June 18, 1976) known by his stage name Silkk The Shocker, is an American rapper and actor. He is the brother of Master P (No Limit Records founder).",6/18/76,null
B.G.,New Orleans,"-90.106630, 29.936885",rapper,"Christopher Dorsey (born September 3, 1980) better known by his stage name B.G. (short for ""Baby Gangsta"" or ""B. Gizzle""), is an American rapper and hip hop recording artist from New Orleans, Louisiana.",9/3/80,null
